method_id,task_id,robot_id,search_mode,breaking_cost,success_rate,trials,perturbation,active_axes,notes
nominal,push_block,franka_panda,random,1.0946957594504192,0.5672611797998761,200,speed_cap_scale=0.615530286340032;calibration_offset_mm=22.115;obstacle_clearance_cm=7.053,"speed_cap_scale,calibration_offset_mm,obstacle_clearance_cm",no_break_found_returned_lowest_success
nominal,push_block,franka_panda,one_axis,1.0,0.7609398907485072,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,franka_panda,grid,1.0,0.7609398907485072,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,franka_panda,bodybreak,1.1032926314828293,0.641707070029155,200,action_noise_std=0.025314971976551054;speed_cap_scale=0.9175819299590129;controller_rate_scale=0.32798073939542705,"action_noise_std,speed_cap_scale,controller_rate_scale",no_break_found_returned_lowest_success
nominal,push_block,widowx250_like,random,0.9489240778636893,0.46081606900402494,200,latency_ms=129.0;speed_cap_scale=0.5120387195491511;calibration_offset_mm=12.405,"latency_ms,speed_cap_scale,calibration_offset_mm",found_break
nominal,push_block,widowx250_like,one_axis,1.0,0.5476706079933165,49,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,widowx250_like,grid,1.0,0.5476706079933165,161,calibration_offset_mm=35,calibration_offset_mm,no_break_found_returned_lowest_success
nominal,push_block,widowx250_like,bodybreak,1.0111413587362248,0.47926676168893617,200,calibration_offset_mm=31.608;camera_shift_px=36.384,"calibration_offset_mm,camera_shift_px",found_break
nominal,push_block,so101_urdf,random,0.6909116296943802,0.4620560555552187,200,latency_ms=131.8;joint_range_scale=0.864418043308025;calibration_offset_mm=10.204,"latency_ms,joint_range_scale,calibration_offset_mm",found_break
nominal,push_block,so101_urdf,one_axis,1.0,0.38512584180052456,49,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,push_block,so101_urdf,grid,1.0,0.38512584180052456,161,calibration_offset_mm=35,calibration_offset_mm,found_break
nominal,push_block,so101_urdf,bodybreak,0.813720703125,0.49985867292714076,200,calibration_offset_mm=28.480224609375,calibration_offset_mm,found_break
